År,Akvakultur,Jordbruk,Avløp,Industri,Bakgrunn,Totalt,Menneskeskapt
1990,0,285,0,77,90,452,381
1991,0,277,0,83,83,443,380
1992,0,263,0,22,85,370,305
1993,0,238,168,20,92,517,445
1994,0,228,101,53,92,475,403
1995,0,225,150,32,94,502,428
1996,0,223,184,43,81,531,470
1997,0,220,186,56,89,551,482
1998,0,217,150,111,91,569,498
1999,0,214,129,77,95,515,440
2000,0,212,102,67,100,480,400
2001,0,200,108,72,92,472,400
2002,0,190,103,72,88,454,385
2003,0,192,105,83,85,465,399
2004,0,185,94,95,86,461,395
2005,1,183,98,77,86,445,378
2006,0,191,107,72,91,461,390
2007,6,180,99,75,92,454,381
2008,0,167,98,88,97,450,373
2009,0,160,93,83,91,428,356
2010,0,160,99,81,87,427,360
2011,0,147,108,72,91,418,347
2012,0,174,101,74,91,440,369
2013,0,200,100,68,87,455,388
2014,0,179,121,51,93,444,370
2015,0,193,126,22,90,430,360
2016,0,199,118,47,83,447,384
2017,0,185,125,58,86,453,387
2018,0,225,102,52,91,470,399
2019,0,209,120,44,92,465,393
2020,0,217,110,40,96,463,387
2021,0,228,83,36,88,435,367
2022,0,211,82,31,85,409,343
