År,Akvakultur,Jordbruk,Avløp,Industri,Bakgrunn,Totalt,Menneskeskapt
1990,0,14,0,5,11,30,27
1991,0,14,0,5,11,29,26
1992,0,13,0,6,11,30,27
1993,0,12,70,2,11,94,91
1994,0,11,37,3,12,62,59
1995,0,11,60,4,12,86,83
1996,0,11,76,5,11,102,100
1997,0,11,76,1,11,99,96
1998,0,11,58,1,11,81,78
1999,0,11,50,4,12,77,73
2000,0,11,40,4,12,67,64
2001,0,10,48,4,12,74,70
2002,0,10,40,2,11,64,61
2003,0,10,35,1,11,57,53
2004,0,10,35,3,11,59,56
2005,0,9,42,1,11,63,61
2006,0,10,44,1,11,66,63
2007,0,10,42,3,11,66,63
2008,0,9,37,2,12,60,56
2009,0,9,36,0,12,56,53
2010,0,9,41,3,11,63,60
2011,0,8,48,2,11,70,67
2012,0,10,44,3,11,68,65
2013,0,11,40,3,11,65,62
2014,0,10,54,5,12,80,76
2015,0,10,52,0,12,74,70
2016,0,10,40,4,11,65,62
2017,0,9,51,4,11,76,73
2018,0,12,48,8,11,79,76
2019,0,11,57,9,12,89,86
2020,0,12,56,5,12,85,81
2021,0,12,37,5,12,66,63
2022,0,11,35,4,11,61,58
