År,Akvakultur,Jordbruk,Avløp,Industri,Bakgrunn,Totalt,Menneskeskapt
1990,587,544,0,114,390,1635,1283
1991,0,533,0,121,323,978,692
1992,521,513,0,56,358,1447,1128
1993,704,476,707,135,342,2364,2060
1994,866,463,494,159,357,2339,2020
1995,1125,459,642,141,370,2737,2405
1996,1284,455,689,150,274,2853,2617
1997,1368,452,699,169,344,3031,2725
1998,1534,448,674,220,335,3210,2913
1999,1583,445,604,168,365,3165,2838
2000,1819,442,551,168,392,3372,3017
2001,1595,478,520,181,313,3087,2811
2002,1528,463,596,171,320,3078,2796
2003,1715,464,606,186,310,3282,3010
2004,1813,459,573,229,325,3398,3111
2005,1904,459,585,201,361,3510,3187
2006,2260,468,602,186,332,3848,3554
2007,2590,460,590,186,375,4201,3865
2008,2607,446,601,230,368,4253,3922
2009,2882,436,579,225,338,4460,4160
2010,2757,437,580,254,285,4313,4065
2011,2980,421,597,231,353,4583,4267
2012,3235,456,577,243,350,4862,4549
2013,3016,481,604,181,322,4604,4320
2014,3216,432,635,166,361,4810,4487
2015,3331,480,591,119,378,4899,4559
2016,3374,487,673,163,331,5027,4734
2017,3305,476,665,157,346,4949,4641
2018,3256,522,680,178,353,4990,4674
2019,3513,504,663,159,326,5165,4877
2020,3733,514,671,152,388,5457,5107
2021,3604,528,640,154,311,5238,4965
2022,3666,508,638,134,328,5275,4984
