År,Akvakultur,Jordbruk,Avløp,Industri,Bakgrunn,Totalt,Menneskeskapt
1990,1468,296,0,860,7884,10507,2629
1991,0,296,0,814,7051,8161,1115
1992,1246,296,0,650,8573,10765,2197
1993,1121,296,410,569,7928,10324,2402
1994,1842,296,921,540,6015,9615,3605
1995,2357,296,1262,555,8641,13111,4476
1996,2825,296,1361,656,6926,12064,5144
1997,3225,296,1325,672,9324,14841,5523
1998,3609,296,1169,535,7438,13047,5615
1999,3282,296,1171,454,6289,11491,5208
2000,3227,296,1047,569,7799,12939,5145
2001,4089,545,963,478,5502,11578,6081
2002,3593,544,914,683,7570,13304,5739
2003,4225,545,916,722,7111,13520,6414
2004,4499,545,909,686,7216,13855,6645
2005,5661,544,930,544,9078,16756,7684
2006,6000,546,964,566,6778,14855,8082
2007,6568,546,998,665,8356,17133,8782
2008,7442,545,1018,668,6613,16286,9679
2009,8513,545,1000,558,7560,18176,10622
2010,8149,545,990,610,5567,15861,10299
2011,8675,544,999,652,8679,19550,10876
2012,9672,544,999,573,6784,18572,11793
2013,9645,543,999,492,6857,18537,11685
2014,10601,432,1040,535,7117,19725,12614
2015,10736,507,1059,555,8484,21341,12862
2016,10425,508,1108,481,6147,18669,12527
2017,11730,508,1102,486,8267,22094,13832
2018,11404,544,1162,465,6594,20170,13581
2019,13390,544,1171,491,7007,22603,15602
2020,14286,544,1180,515,9373,25898,16531
2021,15219,544,1207,535,6141,23647,17511
2022,15074,544,1246,1166,8955,26985,18035
