År,Akvakultur,Jordbruk,Avløp,Industri,Bakgrunn,Totalt,Menneskeskapt
1990,22,19,0,7,51,99,51
1991,0,19,0,7,41,67,29
1992,32,18,0,5,42,97,58
1993,44,17,101,8,40,210,173
1994,39,16,36,4,48,143,98
1995,48,16,63,6,45,178,136
1996,61,16,83,8,32,200,171
1997,64,16,82,7,40,209,173
1998,74,17,60,12,40,202,165
1999,71,17,46,8,46,188,145
2000,71,17,46,8,53,195,145
2001,60,19,54,6,43,183,143
2002,65,17,37,4,40,163,126
2003,92,17,36,5,39,189,153
2004,72,17,31,7,41,168,130
2005,90,18,26,9,39,182,146
2006,86,18,31,7,43,185,145
2007,101,19,28,6,43,197,158
2008,93,19,28,5,50,195,148
2009,98,18,31,6,44,196,156
2010,72,18,30,6,34,160,129
2011,101,18,32,6,43,201,160
2012,116,19,29,6,43,213,173
2013,102,19,31,5,42,199,160
2014,120,15,34,6,54,229,179
2015,133,18,39,5,50,244,198
2016,139,18,33,5,42,236,197
2017,93,18,39,6,44,200,159
2018,146,19,32,7,43,247,207
2019,108,19,37,7,43,214,174
2020,174,19,38,8,52,291,241
2021,75,19,35,5,38,172,137
2022,181,19,33,6,39,277,242
