År,Akvakultur,Jordbruk,Avløp,Industri,Bakgrunn,Totalt,Menneskeskapt
1990,63,2,0,0,54,119,66
1991,0,2,0,0,56,57,3
1992,50,2,0,0,65,117,53
1993,67,2,30,0,60,159,100
1994,49,2,37,0,46,134,89
1995,69,2,47,0,54,172,118
1996,66,2,54,0,62,183,122
1997,126,2,54,0,63,244,182
1998,196,2,48,0,56,302,247
1999,202,2,47,0,52,303,252
2000,303,2,46,0,64,415,352
2001,346,3,40,0,51,441,390
2002,334,3,42,0,55,433,379
2003,394,3,43,0,56,496,441
2004,322,3,46,0,52,423,371
2005,247,3,39,0,60,349,290
2006,266,3,40,0,50,360,310
2007,280,3,40,0,58,381,323
2008,295,3,39,0,51,388,338
2009,452,3,41,0,49,544,496
2010,469,3,35,0,51,558,507
2011,507,3,39,0,55,604,549
2012,650,3,37,4,50,743,694
2013,746,3,41,1,53,844,792
2014,718,2,40,4,54,818,765
2015,688,3,39,0,53,783,731
2016,681,3,34,2,50,770,721
2017,820,3,38,2,67,929,863
2018,757,3,36,2,54,852,799
2019,895,3,38,1,56,993,938
2020,952,3,37,2,69,1063,994
2021,1067,3,35,2,56,1163,1107
2022,887,3,33,2,65,990,926
