År,Akvakultur,Jordbruk,Avløp,Industri,Bakgrunn,Totalt,Menneskeskapt
1990,1296,272,0,0,8134,9702,1578
1991,0,272,0,0,8093,8365,282
1992,1201,272,0,2,9820,11295,1485
1993,1329,272,715,1,9322,11640,2328
1994,1515,272,1278,2,6808,9874,3076
1995,2098,272,1199,2,8353,11924,3581
1996,2394,272,1723,1,8825,13215,4400
1997,2855,272,1704,1,9756,14588,4842
1998,3733,272,1517,0,8010,13532,5532
1999,3833,272,1439,0,7488,13032,5554
2000,4107,272,1414,0,9828,15621,5803
2001,5003,628,1162,0,7212,14006,6803
2002,4454,627,1238,0,8363,14682,6329
2003,5542,626,1205,0,8340,15713,7384
2004,4988,625,1244,0,7787,14645,6867
2005,6035,624,1179,0,9276,17114,7848
2006,6620,627,1188,0,7550,15986,8445
2007,7199,625,1250,0,9126,18200,9084
2008,7941,625,1333,0,7047,16946,9909
2009,9646,625,1241,0,7289,18800,11522
2010,9889,627,1229,0,7095,18840,11755
2011,10456,625,1261,0,8154,20495,12351
2012,12423,629,1248,104,7153,21556,14413
2013,13233,625,1269,57,7460,22644,15193
2014,13873,551,1288,79,7973,23763,15800
2015,14083,596,1287,58,7943,23968,16035
2016,14141,596,1305,83,7100,23225,16135
2017,15814,596,1298,81,9131,26920,17799
2018,14879,629,1693,128,7239,24568,17338
2019,15664,629,1626,27,7948,25894,17956
2020,17628,629,1602,88,10419,30366,19957
2021,18948,629,1525,125,7802,29029,21236
2022,18092,629,1586,678,9900,30885,20995
