År,Akvakultur,Jordbruk,Avløp,Industri,Bakgrunn,Totalt,Menneskeskapt
1990,209,133,0,10,102,454,355
1991,0,133,0,10,85,227,145
1992,181,133,0,20,105,439,337
1993,256,133,198,21,100,707,610
1994,348,133,127,22,86,715,632
1995,433,133,197,18,105,885,783
1996,541,133,191,24,78,966,891
1997,689,133,193,33,117,1165,1051
1998,706,133,197,18,103,1156,1057
1999,639,133,170,29,86,1058,974
2000,555,133,122,28,100,938,840
2001,550,176,168,21,86,1000,917
2002,593,174,163,27,92,1048,959
2003,815,172,157,19,91,1252,1164
2004,773,169,148,19,100,1209,1111
2005,918,164,143,24,109,1359,1252
2006,1344,166,144,25,90,1769,1682
2007,1374,162,149,29,98,1812,1717
2008,1277,163,152,100,92,1784,1695
2009,1457,160,138,32,98,1885,1789
2010,1507,160,133,24,79,1903,1827
2011,1612,162,147,30,107,2058,1954
2012,1813,163,141,34,108,2260,2154
2013,1529,165,160,40,90,1985,1897
2014,2068,150,154,46,79,2497,2421
2015,1544,143,165,34,104,1992,1890
2016,1847,146,190,61,90,2335,2248
2017,1504,143,148,68,114,1978,1866
2018,2197,160,157,65,91,2670,2582
2019,1695,167,159,64,98,2183,2088
2020,2211,163,162,67,120,2724,2606
2021,1935,181,174,56,97,2444,2349
2022,2070,178,173,49,123,2592,2473
