År,Akvakultur,Jordbruk,Avløp,Industri,Bakgrunn,Totalt,Menneskeskapt
1990,990,3692,0,99,6975,11755,4801
1991,0,3692,0,95,5676,9463,3808
1992,860,3692,0,59,7216,11826,4631
1993,1212,3692,2026,96,6813,13839,7047
1994,1647,3692,1267,105,5751,12462,6732
1995,2052,3692,1875,95,7220,14933,7734
1996,2561,3692,1873,63,5115,13304,8210
1997,3265,3692,1855,76,8109,16996,8909
1998,3346,3692,1743,149,7033,15963,8951
1999,3006,3692,1691,191,5796,14375,8601
2000,2766,3692,1520,201,6850,15028,8199
2001,2775,5504,1273,174,5612,15337,9746
2002,2991,5455,1249,238,6055,15989,9955
2003,4098,5455,1333,165,5980,17030,11071
2004,3887,5443,1387,118,6655,17491,10856
2005,4637,5520,1315,164,7532,19169,11658
2006,6359,5532,1336,182,6080,19488,13429
2007,7089,5505,1391,224,6723,20931,14230
2008,6888,5513,1383,195,6045,20024,14000
2009,7904,5498,1463,244,6520,21629,15131
2010,8247,5512,1424,598,5037,20819,15803
2011,9326,5528,1440,283,7183,23760,16598
2012,10474,5522,1434,214,7300,24944,17664
2013,8814,5569,1445,596,5930,22353,16444
2014,11962,4880,1511,350,5057,23760,18724
2015,8915,5018,1523,317,7015,22788,15794
2016,10694,5036,1550,423,5877,23581,17725
2017,8698,5007,1472,614,7710,23501,15812
2018,12738,5514,1433,512,5931,26128,20218
2019,9815,5533,1501,561,6470,23879,17430
2020,12805,5524,1546,607,8164,28647,20504
2021,11180,5575,1539,431,6415,25139,18745
2022,12013,5559,1486,381,8365,27804,19460
