År,Akvakultur,Jordbruk,Avløp,Industri,Bakgrunn,Totalt,Menneskeskapt
1990,1240,679,0,10,3748,5677,1937
1991,0,679,0,0,2838,3516,687
1992,1053,679,0,53,3723,5508,1793
1993,1383,679,1129,282,3435,6908,3481
1994,2026,679,1007,55,2948,6714,3775
1995,2388,679,1379,49,3814,8309,4502
1996,2601,679,1357,1,2539,7176,4646
1997,2965,679,1357,713,4106,9820,5722
1998,3337,679,1214,19,3389,8638,5257
1999,3397,679,1187,30,2967,8260,5301
2000,3498,679,1161,14,3785,9137,5360
2001,555,2072,1012,25,2433,6097,3672
2002,3078,2072,1083,21,3102,9356,6262
2003,3892,2073,1049,27,2801,9843,7050
2004,3706,2072,962,192,3246,10177,6939
2005,3702,2069,932,47,3835,10586,6759
2006,4886,2069,977,22,2946,10901,7963
2007,5018,2067,985,18,3812,11900,8097
2008,4760,2066,995,27,3648,11497,7857
2009,5411,2067,992,38,3025,11533,8516
2010,5728,2067,995,36,2566,11392,8834
2011,6170,2085,984,48,3396,12682,9294
2012,6224,2071,965,61,3589,12910,9329
2013,6683,2082,990,44,2673,12473,9808
2014,5969,1825,1036,67,2391,11288,8905
2015,7909,1972,1061,76,2911,13929,11026
2016,4923,1973,1064,133,2973,11067,8101
2017,7889,1973,1050,51,3743,14707,10972
2018,5558,2071,1064,65,3227,11986,8767
2019,7517,2070,1094,81,3425,14186,10769
2020,6648,2070,1114,46,4313,14192,9887
2021,8629,2071,1044,41,3049,14834,11794
2022,6625,2071,1108,49,4201,14054,9861
