År,Akvakultur,Jordbruk,Avløp,Industri,Bakgrunn,Totalt,Menneskeskapt
1990,2,4984,0,1855,5275,12117,6924
1991,0,4884,0,1676,4265,10825,6642
1992,4,4741,0,1365,4427,10537,6192
1993,5,4467,2381,1360,5019,13233,8296
1994,4,4288,2115,1473,5573,13454,7962
1995,5,4285,2441,1411,5664,13806,8224
1996,7,4234,2518,1553,3799,12111,8394
1997,7,4183,2410,1534,4619,12753,8217
1998,9,4133,2504,1253,5151,13050,7981
1999,9,4083,2366,1076,5496,13029,7616
2000,7,4032,2220,1127,6161,13547,7468
2001,7,3893,2422,1087,6153,13562,7491
2002,0,3771,2070,882,4950,11673,6805
2003,0,3782,2188,946,4967,11883,6998
2004,0,3787,2223,946,5190,12146,7038
2005,0,3881,2405,892,4582,11760,7260
2006,0,3876,2439,865,4965,12144,7262
2007,0,3884,2438,927,5607,12855,7331
2008,0,3864,2473,906,6028,13271,7325
2009,0,3864,2626,687,5355,12532,7260
2010,0,3885,2525,1155,4977,12541,7646
2011,0,3860,2525,1056,5368,12810,7524
2012,0,3915,2581,644,5172,12313,7223
2013,0,3952,2622,636,5455,12666,7293
2014,0,3182,2730,698,6199,12808,6692
2015,0,3763,2735,677,5760,12935,7257
2016,0,3768,2898,573,4917,12156,7320
2017,0,3860,3269,594,5027,12750,7806
2018,0,3979,2864,725,5534,13102,7650
2019,0,3961,2954,693,5599,13208,7690
2020,0,3966,2990,715,6395,14066,7753
2021,0,3982,2946,734,5348,13011,7745
2022,0,3974,3070,734,4480,12258,7860
