År,Akvakultur,Jordbruk,Avløp,Industri,Bakgrunn,Totalt,Menneskeskapt
1990,2840,4116,0,178,21457,28592,7174
1991,0,4111,0,132,16739,20982,4283
1992,2500,4104,0,50,19905,26559,6694
1993,3381,4091,3803,272,17168,28714,11587
1994,4171,4082,3306,473,17962,29993,12071
1995,5413,4082,3927,443,19155,33019,13904
1996,6182,4082,3855,865,12558,27542,15023
1997,6596,4083,3800,1008,17823,33309,15526
1998,7389,4084,4343,1239,16488,33543,17095
1999,7607,4084,3733,1010,18565,34999,16474
2000,9486,4085,3593,1336,20118,38618,18540
2001,8294,7051,3426,1439,14010,34219,20249
2002,7873,7021,2671,1005,15922,34492,18610
2003,8885,7017,3316,477,15197,34892,19735
2004,9429,7033,3350,495,16421,36727,20346
2005,9763,7064,3472,503,20014,40816,20842
2006,10935,7066,3642,467,16245,38355,22150
2007,13503,7077,3680,451,20009,44720,24751
2008,14287,7083,3616,388,19019,44393,25414
2009,15944,7091,3812,445,16958,44250,27332
2010,15439,7115,3851,446,12747,39598,26891
2011,17482,7138,3909,426,18462,47418,28996
2012,19070,7077,3926,449,18642,49164,30562
2013,17745,7134,4027,480,15974,45360,29426
2014,18888,5709,3963,430,18219,47208,29029
2015,19533,6302,4260,411,20831,51336,30546
2016,19848,6307,4125,438,17458,48177,30759
2017,19418,6308,4129,544,18715,49113,30438
2018,19133,7077,4010,509,18434,49163,30769
2019,20615,7077,4002,491,15460,47645,32225
2020,22022,7077,4383,518,20683,54683,34040
2021,21098,7077,4355,458,15015,48004,33028
2022,21755,7077,4428,514,17270,51043,33813
