År,Akvakultur,Jordbruk,Avløp,Industri,Bakgrunn,Totalt,Menneskeskapt
1990,0,11111,5022,531,7251,23915,16665
1991,1,10874,5022,653,6231,22781,16550
1992,1,10541,5022,379,6619,22562,15943
1993,1,9903,6219,357,7473,23952,16479
1994,1,9485,4570,410,7382,21849,14466
1995,1,9473,6628,494,7535,24131,16596
1996,1,9365,6185,437,5905,21892,15988
1997,1,9255,6002,472,7009,22739,15730
1998,1,9146,5739,485,7318,22689,15371
1999,2,9038,5631,457,7980,23107,15127
2000,2,8928,5146,425,8697,23197,14501
2001,2,8775,4769,471,7470,21486,14016
2002,0,8455,4098,516,7045,20115,13069
2003,0,8542,3999,414,6587,19543,12956
2004,0,8477,4031,583,6944,20035,13091
2005,8,8149,3849,450,7005,19461,12456
2006,1,8723,4270,467,7545,21006,13461
2007,35,8643,4388,436,7767,21269,13502
2008,0,8560,4322,536,8405,21824,13418
2009,0,8557,4545,473,7480,21055,13575
2010,0,8626,4370,441,7083,20520,13437
2011,0,8553,4548,390,7796,21287,13491
2012,0,8728,4632,445,7739,21548,13807
2013,0,8949,4814,449,7368,21581,14212
2014,0,7519,5011,432,6290,19251,12962
2015,0,8494,5506,307,7645,21951,14307
2016,0,8622,5405,467,5839,20334,14495
2017,0,8538,5483,522,6638,21181,14713
2018,0,8872,5103,463,6079,20516,14607
2019,0,8712,5345,429,6237,20723,14656
2020,0,8805,5144,367,6735,21052,14486
