År,Akvakultur,Jordbruk,Avløp,Industri,Bakgrunn,Totalt,Menneskeskapt
1990,145,18,50,0,135,348,213
1991,129,18,50,0,93,289,196
1992,112,18,50,1,112,293,181
1993,160,18,52,1,97,328,231
1994,202,18,51,1,97,369,272
1995,249,18,61,4,107,440,333
1996,294,18,59,4,67,442,375
1997,344,18,61,4,103,531,428
1998,353,18,62,4,95,532,437
1999,385,18,56,4,105,569,464
2000,388,18,53,4,104,567,463
2001,399,45,48,4,71,567,496
2002,409,45,49,6,84,592,508
2003,464,45,48,3,83,643,559
2004,476,45,50,8,91,670,578
2005,482,45,48,5,120,701,581
2006,603,45,48,6,97,799,701
2007,634,45,45,5,110,837,728
2008,611,45,46,3,104,809,705
2009,685,45,47,4,88,869,781
2010,725,45,46,25,68,907,840
2011,779,44,43,4,112,983,871
2012,791,46,43,17,98,995,897
2013,788,45,43,5,86,966,880
2014,833,39,47,4,60,983,923
2015,825,51,52,3,115,1045,931
2016,846,46,53,6,81,1032,951
2017,820,47,51,6,86,1010,924
2018,793,42,51,6,67,959,893
2019,884,42,47,4,53,1030,977
2020,997,42,52,4,70,1167,1096
