År,Akvakultur,Jordbruk,Avløp,Industri,Bakgrunn,Totalt,Menneskeskapt
1990,3,5166,2431,1865,5931,15395,9464
1991,3,5062,2431,1685,4852,14033,9181
1992,4,4914,2431,2827,5033,15209,10176
1993,5,4629,2488,2822,5530,15475,9944
1994,5,4443,2465,1476,6141,14530,8389
1995,6,4440,2780,1418,6209,14853,8644
1996,7,4388,2804,1560,4298,13058,8760
1997,8,4335,2702,1545,5174,13764,8591
1998,10,4283,2747,1298,5778,14116,8338
1999,9,4232,2604,1088,6154,14086,7933
2000,8,4179,2488,1146,6822,14643,7821
2001,7,4012,2555,1090,6668,14332,7664
2002,0,3882,2117,956,5478,12433,6955
2003,0,3895,2272,954,5524,12645,7121
2004,0,3901,2326,949,5650,12826,7176
2005,0,4009,2486,906,5133,12534,7401
2006,0,4002,2472,867,5724,13066,7341
2007,0,4008,2555,946,6311,13820,7509
2008,0,3988,2602,914,6743,14248,7504
2009,0,3986,2640,691,5930,13246,7317
2010,0,4004,2642,1156,5534,13336,7803
2011,0,3980,2632,1056,6219,13888,7669
2012,0,3962,2677,645,5821,13104,7282
2013,0,3998,2720,636,6282,13636,7354
2014,0,3182,2730,698,6117,12726,6610
2015,0,3805,2829,677,6403,13714,7311
2016,0,3818,2897,573,5862,13150,7288
2017,0,3860,3263,594,6415,14134,7800
2018,0,3979,2864,725,5534,13102,7650
2019,0,3961,2954,693,5599,13208,7690
2020,0,3966,2990,715,6395,14066,7753
