År,Akvakultur,Jordbruk,Avløp,Industri,Bakgrunn,Totalt,Menneskeskapt
1990,0,126,91,26,56,299,243
1991,0,123,91,25,49,288,239
1992,0,117,91,37,50,296,246
1993,0,106,129,61,54,350,296
1994,0,102,79,46,58,285,227
1995,0,101,108,56,58,324,266
1996,1,100,106,51,45,303,257
1997,1,99,108,53,51,311,260
1998,1,98,98,48,55,300,245
1999,1,97,86,29,58,272,214
2000,1,96,74,41,62,274,212
2001,1,91,75,50,64,280,217
2002,0,87,68,43,55,254,199
2003,0,88,77,40,55,260,205
2004,0,89,66,41,56,252,196
2005,0,91,71,46,51,258,207
2006,0,91,66,32,55,243,188
2007,0,93,61,29,59,242,182
2008,0,92,68,29,64,253,189
2009,0,90,66,26,58,240,181
2010,0,90,63,24,56,233,177
2011,0,89,64,30,60,243,183
2012,0,95,63,26,57,241,184
2013,0,93,63,21,60,237,177
2014,0,77,56,24,49,206,157
2015,0,89,74,12,61,235,174
2016,0,95,61,20,48,223,175
2017,0,100,52,17,50,219,169
2018,0,104,49,25,56,235,189
2019,0,103,50,26,57,236,189
2020,0,104,48,24,60,236,187
