År,Akvakultur,Jordbruk,Avløp,Industri,Bakgrunn,Totalt,Menneskeskapt
1990,1296,278,663,0,13299,15537,2237
1991,1249,278,663,0,12549,14739,2190
1992,1201,278,663,0,14973,17115,2142
1993,1329,278,747,0,13889,16244,2355
1994,1515,278,1372,0,10855,14021,3166
1995,2098,278,1619,0,13074,17070,3996
1996,2394,278,1851,0,14130,18653,4523
1997,2855,278,1850,0,14922,19906,4984
1998,3733,278,1645,0,12460,18116,5657
1999,3833,278,1550,0,12057,17718,5662
2000,4107,278,1514,0,14974,20874,5900
2001,5003,632,1332,0,11888,18856,6967
2002,4454,631,1376,0,12946,19407,6461
2003,5542,631,1299,0,13183,20654,7472
2004,4988,629,1357,0,13322,20296,6974
2005,6035,629,1251,0,15331,23245,7914
2006,6620,632,1230,0,13671,22152,8481
2007,7199,629,1236,0,15703,24767,9064
2008,7941,629,1218,0,11727,21514,9787
2009,9646,629,1224,0,12034,23533,11499
2010,9889,631,1328,0,12415,24263,11848
2011,10456,629,1261,0,13652,25998,12346
2012,12423,632,1267,104,12020,26453,14430
2013,13233,629,1293,57,12990,28202,15212
2014,13873,551,1288,79,7963,23753,15790
2015,14083,599,1301,58,13712,29754,16042
2016,14141,595,1302,83,8597,24719,16121
2017,15814,596,1285,81,10867,28643,17786
2018,14879,629,1693,128,7239,24568,17338
2019,15664,629,1626,27,7948,25894,17956
2020,17628,629,1602,88,10419,30366,19957
