År,Akvakultur,Jordbruk,Avløp,Industri,Bakgrunn,Totalt,Menneskeskapt
1990,0,261,86,33,87,467,379
1991,0,254,86,43,76,459,382
1992,0,241,86,19,81,427,346
1993,0,218,97,20,90,425,335
1994,0,210,79,55,88,432,344
1995,0,207,93,40,90,430,340
1996,0,204,108,46,74,432,358
1997,0,202,110,57,86,455,369
1998,0,199,97,91,88,475,387
1999,0,196,83,51,93,423,330
2000,0,194,68,46,100,407,307
2001,0,180,65,55,89,389,300
2002,0,170,60,59,86,375,289
2003,0,171,70,66,80,387,307
2004,0,165,65,73,84,387,303
2005,1,164,63,56,85,369,284
2006,0,170,67,51,89,377,288
2007,6,161,61,53,92,373,281
2008,0,148,66,57,98,369,271
2009,0,142,63,67,89,362,272
2010,0,142,62,57,86,348,262
2011,0,130,66,52,93,340,248
2012,0,154,62,59,92,367,275
2013,0,180,63,53,89,384,295
2014,0,150,59,46,67,323,256
2015,0,173,80,22,91,365,274
2016,0,175,71,43,65,354,289
2017,0,167,66,53,71,357,286
2018,0,191,47,44,75,357,292
2019,0,177,57,35,75,344,278
2020,0,184,47,35,80,345,275
