År,Akvakultur,Jordbruk,Avløp,Industri,Bakgrunn,Totalt,Menneskeskapt
1990,22,22,63,8,78,192,115
1991,27,22,63,8,60,180,120
1992,32,21,63,7,62,184,123
1993,44,19,107,14,58,242,185
1994,39,19,60,7,69,194,125
1995,48,19,75,8,65,215,150
1996,61,19,94,12,46,232,186
1997,64,19,94,11,57,245,188
1998,74,19,68,16,59,236,177
1999,72,19,57,10,68,225,158
2000,71,19,57,10,76,234,158
2001,60,21,60,7,62,211,149
2002,65,19,46,8,58,195,137
2003,92,19,39,8,57,215,158
2004,72,19,36,10,60,197,137
2005,90,20,32,10,59,211,152
2006,86,20,35,9,65,215,150
2007,101,21,33,7,61,224,163
2008,93,21,33,7,74,227,153
2009,98,20,35,8,64,224,161
2010,72,20,34,7,47,180,133
2011,101,20,36,8,64,229,165
2012,116,21,33,7,63,240,177
2013,102,21,36,6,62,226,165
2014,120,15,34,6,50,226,176
2015,133,20,44,6,72,276,203
2016,139,20,33,5,44,241,197
2017,93,21,39,6,48,207,159
2018,146,19,32,7,43,247,207
2019,108,19,37,7,43,214,174
2020,174,19,38,8,52,291,241
