År,Akvakultur,Jordbruk,Avløp,Industri,Bakgrunn,Totalt,Menneskeskapt
1990,2,445,307,113,199,1066,868
1991,3,434,307,134,170,1048,877
1992,4,413,307,97,176,995,820
1993,5,373,414,115,187,1095,908
1994,4,359,262,139,198,963,764
1995,5,354,343,134,197,1035,837
1996,7,351,395,141,156,1049,894
1997,7,347,399,151,179,1082,903
1998,9,343,328,184,189,1053,864
1999,6,339,287,118,203,953,750
2000,8,335,249,123,221,936,716
2001,1,313,259,138,202,912,710
2002,3,297,223,132,184,840,656
2003,5,299,228,136,180,849,668
2004,5,294,209,148,186,843,656
2005,5,293,216,137,178,829,651
2006,7,303,217,114,194,835,641
2007,13,295,203,115,197,822,625
2008,6,279,209,121,217,832,615
2009,5,269,207,121,197,800,603
2010,1,270,206,110,180,767,587
2011,3,254,222,106,201,786,585
2012,4,289,209,104,197,802,605
2013,6,316,208,91,197,818,621
2014,5,263,198,78,156,698,543
2015,8,303,253,36,206,806,600
2016,4,320,197,67,146,735,589
2017,5,316,201,75,157,755,598
2018,7,339,170,80,174,771,629
2019,10,321,193,73,177,774,630
2020,3,331,181,67,191,773,615
