År,Akvakultur,Jordbruk,Avløp,Industri,Bakgrunn,Totalt,Menneskeskapt
1990,990,3717,1632,105,9573,16018,6444
1991,925,3717,1632,101,7721,14097,6375
1992,860,3717,1632,76,9149,15434,6285
1993,1212,3717,2056,105,8951,16041,7090
1994,1647,3717,1474,108,7646,14592,6947
1995,2052,3717,1964,97,9341,17171,7830
1996,2562,3717,1961,70,6594,14903,8310
1997,3265,3717,1943,78,10476,19479,9003
1998,3346,3717,1799,152,9150,18163,9013
1999,3007,3717,1746,194,7651,16315,8663
2000,2766,3717,1574,204,8312,16574,8261
2001,2776,5332,1336,199,7322,16965,9643
2002,2991,5285,1364,258,7412,17310,9898
2003,4098,5285,1399,186,7803,18770,10967
2004,3887,5271,1445,148,8423,19173,10751
2005,4637,5346,1402,167,9838,21390,11552
2006,6359,5356,1384,184,8281,21564,13283
2007,7089,5330,1341,224,8655,22639,13985
2008,6888,5339,1377,213,7701,21517,13817
2009,7904,5327,1475,255,8533,23493,14961
2010,8247,5339,1470,627,6685,22368,15683
2011,9326,5353,1459,299,9531,25969,16438
2012,10473,5580,1465,223,9231,26972,17737
2013,8814,5626,1475,606,7776,24296,16520
2014,11962,4880,1511,350,5036,23739,18703
2015,8915,5063,1553,333,9212,25076,15864
2016,10694,4986,1550,423,6186,23840,17654
2017,8698,5007,1472,614,8127,23918,15811
2018,12738,5514,1433,512,5931,26128,20218
2019,9815,5533,1501,561,6470,23879,17430
2020,12805,5524,1546,607,8164,28647,20504
