År,Akvakultur,Jordbruk,Avløp,Industri,Bakgrunn,Totalt,Menneskeskapt
1990,63,2,28,0,89,182,93
1991,57,2,28,0,89,175,86
1992,50,2,28,0,104,183,80
1993,67,2,32,0,96,197,101
1994,49,2,46,0,77,173,96
1995,69,2,52,0,91,213,122
1996,66,2,58,0,102,228,126
1997,126,2,59,0,103,289,186
1998,196,2,51,0,91,340,249
1999,202,2,49,0,89,342,253
2000,303,2,48,0,104,457,353
2001,346,2,44,0,90,483,393
2002,334,2,39,0,91,467,376
2003,394,2,41,0,95,533,438
2004,322,2,45,0,90,459,370
2005,247,3,36,0,101,387,286
2006,266,3,35,0,94,398,304
2007,280,3,35,0,102,420,318
2008,295,3,36,0,84,418,334
2009,452,3,37,0,84,575,491
2010,469,3,35,0,91,597,506
2011,507,3,35,0,96,641,544
2012,650,2,36,4,87,780,693
2013,746,3,38,1,94,881,788
2014,718,2,40,4,53,817,764
2015,688,3,40,0,98,829,731
2016,681,4,34,2,57,778,720
2017,820,4,38,2,76,939,863
2018,757,3,36,2,54,852,799
2019,895,3,38,1,56,993,938
2020,952,3,37,2,69,1063,994
