År,Akvakultur,Jordbruk,Avløp,Industri,Bakgrunn,Totalt,Menneskeskapt
1990,588,594,607,185,548,2522,1975
1991,555,583,607,207,429,2381,1952
1992,522,561,607,170,483,2343,1860
1993,705,521,769,209,440,2644,2204
1994,867,507,637,224,466,2701,2235
1995,1126,502,799,211,480,3118,2638
1996,1286,499,829,221,339,3174,2835
1997,1370,495,842,233,449,3389,2940
1998,1536,491,765,267,443,3501,3059
1999,1586,487,685,203,486,3446,2961
2000,1821,484,632,203,503,3643,3140
2001,1598,511,601,222,400,3332,2932
2002,1528,494,569,224,411,3227,2815
2003,1715,496,567,228,409,3416,3007
2004,1813,490,540,248,428,3519,3091
2005,1904,491,558,225,487,3665,3178
2006,2260,501,594,206,449,4010,3561
2007,2590,493,602,222,490,4398,3908
2008,2607,478,604,242,495,4426,3931
2009,2882,467,605,240,431,4625,4194
2010,2757,467,627,271,356,4479,4123
2011,2980,451,620,235,481,4767,4286
2012,3235,486,620,248,461,5050,4589
2013,3016,514,632,183,430,4774,4344
2014,3216,432,635,166,323,4772,4449
2015,3331,512,651,121,516,5131,4615
2016,3374,512,671,161,348,5066,4718
2017,3305,514,663,155,382,5018,4636
2018,3256,522,680,178,353,4990,4674
2019,3513,504,663,159,326,5165,4877
2020,3733,514,671,152,388,5457,5107
