År,Akvakultur,Jordbruk,Avløp,Industri,Bakgrunn,Totalt,Menneskeskapt
1990,0,17,66,6,4,94,90
1991,0,17,66,6,4,93,89
1992,0,16,66,6,4,92,88
1993,0,14,80,2,4,101,97
1994,0,14,48,3,5,69,65
1995,0,14,71,4,4,93,89
1996,0,14,86,5,4,108,104
1997,0,14,86,5,4,108,104
1998,0,14,68,5,4,91,87
1999,0,14,60,5,5,84,79
2000,0,13,50,6,5,74,69
2001,0,12,59,5,5,80,75
2002,0,12,50,4,4,70,66
2003,0,12,45,4,4,65,61
2004,0,12,45,4,4,65,60
2005,0,10,52,3,4,69,65
2006,0,12,53,2,5,71,66
2007,0,12,52,3,4,71,67
2008,0,11,46,2,5,65,60
2009,0,11,46,2,5,63,59
2010,0,11,51,3,4,68,64
2011,0,10,58,2,5,75,71
2012,0,12,54,3,5,74,69
2013,0,13,50,2,4,70,65
2014,0,10,54,5,3,72,68
2015,0,12,62,0,5,79,74
2016,0,18,40,2,3,63,61
2017,0,17,51,2,3,74,71
2018,0,12,48,8,11,79,76
2019,0,11,57,9,12,89,86
2020,0,12,56,5,12,85,81
