År,Akvakultur,Jordbruk,Avløp,Industri,Bakgrunn,Totalt,Menneskeskapt
1990,259,32,113,1,82,486,404
1991,240,32,113,2,63,449,386
1992,220,32,113,4,76,444,368
1993,289,32,157,24,68,570,503
1994,424,32,140,11,63,669,606
1995,500,32,194,12,75,812,737
1996,544,32,185,12,52,824,772
1997,620,32,188,141,83,1064,981
1998,698,32,166,133,69,1098,1029
1999,714,32,152,22,61,980,920
2000,692,32,148,25,69,965,896
2001,105,62,129,28,53,376,323
2002,595,61,137,27,60,880,820
2003,763,61,132,30,59,1046,987
2004,728,61,123,31,68,1011,944
2005,726,61,124,26,78,1015,937
2006,1033,61,121,47,63,1325,1262
2007,973,61,125,38,76,1272,1196
2008,878,61,129,38,73,1179,1106
2009,992,61,132,28,62,1275,1213
2010,1043,61,133,27,55,1318,1264
2011,1066,61,125,23,75,1349,1274
2012,1076,61,120,36,72,1365,1293
2013,1156,60,126,38,59,1439,1380
2014,1028,54,140,42,33,1296,1263
2015,1365,65,146,21,64,1660,1596
2016,854,62,133,32,53,1134,1081
2017,1354,64,136,91,64,1708,1645
2018,964,60,138,25,45,1231,1188
2019,1290,59,148,24,47,1569,1523
2020,1148,59,139,28,59,1433,1375
