År,Akvakultur,Jordbruk,Avløp,Industri,Bakgrunn,Totalt,Menneskeskapt
1990,2820,21049,11588,3654,50831,89943,39111
1991,2657,20693,11588,3558,39487,77984,38497
1992,2493,20188,11588,4407,44276,82953,38677
1993,3371,19221,13493,4252,40387,80724,40337
1994,4148,18588,11950,3248,43689,81624,37934
1995,5384,18572,15003,3258,44570,86787,42217
1996,6151,18410,14541,3353,30619,73074,42455
1997,6554,18247,14177,3444,41002,83424,42422
1998,7353,18084,14059,3404,40947,83847,42900
1999,7552,17922,13020,2850,45343,86687,41344
2000,9392,17759,12235,3179,47630,90195,42566
2001,8125,20379,11846,3185,38403,81938,43535
2002,7824,19871,10725,2652,38541,79614,41073
2003,8701,19968,10538,2034,38335,79576,41242
2004,9228,19927,10644,2144,40126,82069,41943
2005,9717,19756,10768,1939,44227,86407,42180
2006,10693,20323,11494,1881,41718,86109,44391
2007,13376,20266,11614,1904,45382,92543,47161
2008,14157,20169,11535,1857,47259,94978,47719
2009,15739,20165,12087,1625,40696,90312,49616
2010,15158,20279,12016,2062,33053,82568,49515
2011,17283,20203,12107,1891,44883,96366,51483
2012,18786,20303,12271,1559,43326,96243,52923
2013,17478,20614,12601,1584,40751,93028,52277
2014,18636,16656,12574,1573,36004,85443,49440
2015,19312,19087,13691,1418,48756,102263,53507
2016,19586,19097,13436,1495,37364,90978,53614
2017,19166,19081,13938,1669,41912,95767,54168
2018,18935,20330,12825,1706,34182,87978,54109
2019,20432,20152,13123,1622,31658,86987,55642
2020,21706,20250,13690,1610,39074,96329,57568
