År,Akvakultur,Jordbruk,Avløp,Industri,Bakgrunn,Totalt,Menneskeskapt
1990,1559,780,1003,262,1176,4781,3605
1991,1465,769,1003,274,968,4479,3510
1992,1370,747,1003,242,1107,4469,3362
1993,1707,707,1257,292,1027,4991,3964
1994,2246,693,1184,283,956,5362,4406
1995,2869,688,1528,273,1083,6442,5358
1996,3317,685,1554,296,861,6713,5851
1997,3786,681,1578,461,1128,7634,6506
1998,4266,677,1444,468,1008,7863,6854
1999,4269,673,1316,288,993,7538,6546
2000,4398,669,1199,290,1092,7649,6557
2001,3883,798,1168,301,886,7035,6149
2002,4108,779,1117,317,954,7275,6321
2003,5001,778,1106,317,951,8154,7203
2004,4936,769,1067,352,992,8117,7124
2005,5434,766,1067,299,1136,8703,7567
2006,6915,778,1093,314,997,10098,9101
2007,7195,766,1121,328,1099,10509,9410
2008,7125,751,1118,424,1006,10424,9417
2009,8088,738,1122,342,964,11254,10290
2010,8078,739,1151,370,825,11163,10337
2011,8396,724,1131,579,1088,11918,10829
2012,9382,776,1134,371,994,12657,11663
2013,9110,805,1166,298,954,12331,11377
2014,9927,687,1201,303,644,12761,12117
2015,9948,790,1241,219,1126,13324,12198
2016,9781,778,1284,287,713,12842,12129
2017,10350,786,1219,339,848,13541,12694
2018,10404,796,1255,310,683,13448,12809
2019,10928,785,1251,277,679,13920,13284
2020,11836,791,1239,284,840,14990,14194
