År,Akvakultur,Jordbruk,Avløp,Industri,Bakgrunn,Totalt,Menneskeskapt
1990,3314,4657,2825,975,24408,36180,11772
1991,3072,4657,2825,922,19682,31158,11476
1992,2830,4657,2825,779,23247,34338,11091
1993,3433,4657,3609,957,21642,34298,12656
1994,5039,4657,3229,703,18472,32100,13628
1995,6184,4657,4458,701,23545,39545,16000
1996,7252,4657,4329,775,17268,34281,17013
1997,8618,4657,4291,1479,26191,45237,19046
1998,9232,4657,3903,718,22062,40573,18511
1999,8836,4657,3822,681,18739,36736,17996
2000,8797,4657,3507,819,20938,38718,17780
2001,6594,7888,3101,743,17149,35474,18326
2002,8673,7841,3116,978,19424,40032,20608
2003,11111,7843,3143,951,19274,42322,23048
2004,10841,7827,3095,1042,20894,43700,22806
2005,11992,7899,3061,774,24422,48149,23727
2006,15406,7911,3042,781,19890,47030,27140
2007,16559,7882,3025,915,21955,50337,28382
2008,16550,7890,3068,917,19218,47643,28425
2009,18727,7879,3197,872,19960,50635,30674
2010,19290,7891,3191,1284,15786,47442,31657
2011,20881,7922,3121,999,23404,56328,32924
2012,23090,8122,3092,849,20517,55673,35157
2013,21980,8184,3147,1136,18689,53136,34447
2014,25021,7072,3230,949,13240,49512,36272
2015,24174,7473,3341,956,23193,59137,35944
2016,22964,7367,3319,1030,16057,50737,34680
2017,24982,7408,3235,1145,20961,57730,36801
2018,26442,8048,3181,1035,14573,53280,38739
2019,27283,8065,3290,1132,15501,55271,39802
2020,29309,8057,3369,1153,19954,61842,41920
