År,Akvakultur,Jordbruk,Avløp,Industri,Bakgrunn,Totalt,Menneskeskapt
1990,326,17,142,28,119,631,512
1991,324,17,142,30,87,599,512
1992,322,17,142,28,106,614,508
1993,423,17,166,33,80,719,638
1994,516,17,190,32,88,844,756
1995,705,17,195,26,94,1037,943
1996,782,17,196,27,56,1078,1022
1997,790,17,201,28,89,1124,1036
1998,885,17,241,31,82,1256,1174
1999,891,17,230,33,94,1264,1170
2000,922,17,219,31,92,1281,1189
2001,913,37,184,33,64,1230,1166
2002,793,37,179,35,73,1116,1043
2003,914,36,178,42,78,1249,1171
2004,942,36,181,45,80,1285,1205
2005,942,36,191,41,104,1315,1210
2006,1202,36,202,46,79,1565,1486
2007,1393,36,228,34,97,1789,1692
2008,1404,36,229,41,91,1802,1711
2009,1530,36,215,37,76,1895,1819
2010,1425,36,218,51,56,1785,1729
2011,1572,36,219,61,92,1979,1887
2012,1778,36,220,66,89,2188,2099
2013,1597,35,214,26,77,1950,1872
2014,1716,32,228,20,52,2048,1996
2015,1790,39,180,11,109,2130,2021
2016,1769,39,227,18,64,2116,2053
2017,1819,40,221,15,74,2169,2094
2018,1736,35,206,21,57,2055,1999
2019,1827,35,202,27,46,2138,2093
2020,1911,35,213,18,63,2240,2179
