År,Akvakultur,Jordbruk,Avløp,Industri,Bakgrunn,Totalt,Menneskeskapt
1990,120,6,32,0,101,260,158
1991,123,6,32,0,91,252,161
1992,126,6,32,0,99,264,165
1993,143,6,37,0,101,288,187
1994,157,6,78,0,76,318,242
1995,229,6,80,0,90,404,315
1996,265,6,86,0,93,450,357
1997,279,6,89,0,106,480,374
1998,345,6,86,0,78,515,437
1999,403,6,85,0,75,568,494
2000,347,6,87,0,103,543,440
2001,444,17,72,0,80,614,534
2002,332,17,73,0,91,514,423
2003,437,17,68,0,89,612,523
2004,367,17,71,0,90,545,455
2005,518,17,64,0,101,701,600
2006,686,17,65,0,92,860,768
2007,667,17,72,0,107,863,757
2008,671,17,60,0,80,829,749
2009,704,17,72,0,86,879,793
2010,764,17,83,0,85,949,864
2011,696,17,68,0,93,874,781
2012,879,17,70,6,80,1052,972
2013,941,17,70,3,89,1121,1031
2014,1024,16,74,3,50,1168,1118
2015,1115,19,75,4,90,1302,1213
2016,1176,18,85,4,53,1334,1282
2017,1284,18,78,4,63,1448,1385
2018,1212,17,90,1,39,1359,1320
2019,1180,17,84,0,46,1328,1282
2020,1275,17,76,3,61,1432,1371
