År,Akvakultur,Jordbruk,Avløp,Industri,Bakgrunn,Totalt,Menneskeskapt
1990,273,11,76,0,230,591,361
1991,263,11,76,0,214,565,351
1992,253,11,76,0,243,584,341
1993,280,11,87,0,233,612,379
1994,319,11,170,0,185,686,501
1995,442,11,198,0,218,869,651
1996,505,11,221,1,232,969,737
1997,602,11,226,0,253,1093,840
1998,785,11,207,1,204,1207,1003
1999,810,11,193,0,196,1211,1014
2000,822,11,192,2,244,1271,1027
2001,992,27,173,0,199,1391,1192
2002,878,27,165,0,219,1289,1071
2003,1091,27,161,0,222,1501,1280
2004,980,27,172,0,219,1398,1179
2005,1171,28,158,0,251,1608,1357
2006,1399,27,156,0,220,1802,1582
2007,1395,28,163,0,250,1836,1586
2008,1464,27,152,0,194,1838,1643
2009,1763,28,164,0,203,2157,1955
2010,1800,27,172,0,205,2204,1999
2011,1806,27,154,0,224,2211,1987
2012,2149,27,160,10,197,2543,2346
2013,2285,27,158,5,212,2688,2475
2014,2396,25,170,7,123,2721,2598
2015,2433,30,172,4,226,2865,2639
2016,2435,29,182,6,129,2781,2652
2017,2731,30,171,6,162,3100,2937
2018,2574,26,187,6,111,2906,2796
2019,2712,26,185,2,123,3048,2926
2020,3046,26,172,7,160,3412,3253
