År,Akvakultur,Jordbruk,Avløp,Industri,Bakgrunn,Totalt,Menneskeskapt
1990,571,154,281,0,5064,6070,1006
1991,586,154,281,0,4513,5534,1021
1992,601,154,281,0,4979,6016,1037
1993,683,154,340,0,5045,6222,1177
1994,749,154,648,0,3789,5340,1551
1995,1088,154,673,0,4475,6391,1916
1996,1261,154,766,0,4639,6820,2181
1997,1326,154,769,0,5305,7553,2249
1998,1639,154,689,0,3883,6365,2482
1999,1915,154,682,0,3707,6458,2751
2000,1731,154,689,0,5203,7777,2574
2001,2242,408,555,0,3971,7176,3205
2002,1698,407,640,0,4538,7284,2745
2003,2229,406,560,0,4471,7667,3195
2004,1867,405,583,0,4514,7369,2855
2005,2679,405,516,0,5130,8731,3600
2006,3246,408,518,0,4605,8776,4171
2007,3443,406,511,0,5386,9746,4360
2008,3650,405,489,0,3991,8535,4544
2009,3841,406,510,0,4343,9099,4757
2010,4195,408,638,0,4254,9495,5241
2011,4018,406,606,0,4637,9667,5030
2012,5086,409,567,44,3988,10095,6105
2013,5440,406,593,30,4478,10948,6470
2014,5928,362,608,34,2774,9706,6932
2015,6447,389,608,51,4512,12006,7495
2016,6824,381,614,48,2919,10786,7867
2017,7437,387,591,53,3533,12002,8470
2018,7006,406,766,3,2127,10309,8182
2019,6803,406,676,2,2511,10399,7888
2020,7358,406,704,42,3422,11932,8511
