År,Akvakultur,Jordbruk,Avløp,Industri,Bakgrunn,Totalt,Menneskeskapt
1990,0,542,1791,129,258,2721,2463
1991,0,531,1791,145,261,2728,2467
1992,0,515,1791,80,235,2621,2386
1993,0,484,2936,59,249,3729,3479
1994,0,464,1365,75,308,2212,1904
1995,0,463,3227,74,299,4064,3764
1996,0,461,2359,94,223,3138,2915
1997,0,459,2349,122,238,3168,2930
1998,0,456,2166,111,274,3006,2733
1999,0,454,2177,133,333,3096,2763
2000,0,452,1890,103,372,2817,2445
2001,0,435,1516,115,331,2397,2066
2002,0,430,1227,91,269,2017,1748
2003,0,428,1109,78,285,1901,1615
2004,0,425,1334,92,290,2141,1851
2005,0,413,1310,91,244,2058,1814
2006,0,428,1491,83,316,2319,2003
2007,0,427,1424,88,296,2235,1939
2008,0,421,1367,109,348,2246,1897
2009,0,421,1394,97,309,2220,1912
2010,0,424,1386,94,276,2180,1903
2011,0,423,1520,91,305,2338,2034
2012,0,441,1486,100,311,2341,2029
2013,0,447,1545,105,293,2390,2098
2014,0,358,1790,102,275,2524,2249
2015,0,430,1984,95,316,2824,2508
2016,0,480,1891,108,220,2698,2479
2017,0,411,1963,117,285,2775,2559
2018,0,429,1466,63,291,2250,2027
2019,0,423,1563,51,352,2389,2106
2020,0,427,1492,44,384,2348,2032
