År,Akvakultur,Jordbruk,Avløp,Industri,Bakgrunn,Totalt,Menneskeskapt
1990,963,185,393,78,627,2245,1618
1991,903,185,393,67,539,2085,1547
1992,842,185,393,71,623,2115,1491
1993,994,185,484,83,586,2332,1746
1994,1368,185,545,60,489,2647,2158
1995,1730,185,725,62,603,3304,2702
1996,2015,185,720,76,521,3516,2995
1997,2397,185,731,228,678,4219,3541
1998,2710,185,674,201,565,4335,3770
1999,2662,185,628,85,506,4066,3560
2000,2547,185,564,87,588,3971,3382
2001,2248,286,563,79,485,3661,3176
2002,2566,284,545,94,542,4030,3488
2003,3244,281,536,89,541,4691,4150
2004,3080,278,524,104,563,4549,3985
2005,3515,274,507,74,649,5019,4370
2006,4597,275,496,108,548,6025,5477
2007,4567,271,516,106,609,6069,5460
2008,4488,272,511,183,510,5963,5453
2009,5164,269,514,103,532,6582,6049
2010,5268,270,521,98,469,6626,6157
2011,5378,271,508,344,607,7108,6501
2012,6094,288,511,123,532,7548,7016
2013,6041,290,530,115,523,7499,6976
2014,6663,253,562,136,320,7935,7615
2015,6571,276,587,98,609,8141,7532
2016,6357,264,609,126,364,7720,7355
2017,6996,270,552,184,465,8467,8002
2018,7107,272,571,132,329,8411,8087
2019,7374,279,583,118,353,8707,8360
2020,8046,275,565,132,451,9470,9025
