År,Akvakultur,Jordbruk,Avløp,Industri,Bakgrunn,Totalt,Menneskeskapt
1990,311,14,46,66,199,637,438
1991,288,14,46,55,169,572,403
1992,264,14,46,40,196,561,365
1993,238,14,52,29,176,509,334
1994,390,14,125,19,147,695,549
1995,500,14,188,23,196,921,725
1996,599,14,186,31,164,994,830
1997,683,14,188,48,217,1151,934
1998,764,14,165,42,178,1163,985
1999,704,14,163,30,155,1066,911
2000,651,14,150,28,175,1018,843
2001,802,35,141,23,139,1140,1001
2002,713,35,132,34,175,1089,914
2003,835,35,133,35,167,1206,1038
2004,890,35,134,49,177,1284,1108
2005,1105,35,136,23,209,1508,1299
2006,1268,35,135,33,162,1633,1471
2007,1273,35,137,36,182,1663,1481
2008,1367,35,135,35,144,1716,1571
2009,1558,35,135,33,158,1919,1761
2010,1486,35,133,32,124,1811,1686
2011,1498,35,133,41,186,1894,1708
2012,1676,35,141,40,140,2031,1891
2013,1669,35,138,28,152,2022,1870
2014,1824,31,154,42,108,2158,2050
2015,1859,39,153,34,206,2290,2084
2016,1799,37,167,27,110,2140,2030
2017,2033,38,152,20,144,2388,2243
2018,1976,33,150,39,101,2298,2198
2019,2313,33,153,28,106,2634,2529
2020,2461,33,152,31,141,2818,2677
