År,Akvakultur,Jordbruk,Avløp,Industri,Bakgrunn,Totalt,Menneskeskapt
1990,1473,305,378,860,11607,14622,3015
1991,1362,305,378,814,9751,12609,2858
1992,1251,305,378,650,11379,13961,2583
1993,1125,305,429,569,10250,12678,2428
1994,1848,305,956,540,8484,12133,3650
1995,2365,305,1431,555,11389,16045,4657
1996,2835,305,1464,656,9397,14657,5260
1997,3236,305,1447,679,12688,18355,5667
1998,3620,305,1266,538,10340,16070,5730
1999,3293,305,1261,457,8912,14228,5316
2000,3239,305,1125,577,10118,15364,5245
2001,4094,550,1081,485,7995,14206,6210
2002,3593,550,1030,690,10094,15957,5862
2003,4225,551,1015,729,9689,16208,6520
2004,4499,550,1017,694,10216,16976,6760
2005,5661,549,1049,551,12193,20004,7810
2006,6000,551,1048,566,9374,17540,8166
2007,6568,551,1064,665,10627,19475,8848
2008,7442,550,1055,668,8342,18058,9715
2009,8513,551,1039,558,9162,19823,10660
2010,8149,550,1019,610,7105,17432,10328
2011,8675,549,982,652,10839,21697,10858
2012,9671,546,1016,572,8074,19883,11812
2013,9645,548,1019,492,8716,20420,11704
2014,10601,432,1040,535,7111,19720,12608
2015,10736,512,1067,555,11934,24802,12869
2016,10425,502,1105,481,7167,19681,12513
2017,11730,508,1099,486,9521,23343,13828
2018,11404,544,1162,465,6594,20170,13581
2019,13390,544,1171,491,7007,22603,15602
2020,14286,544,1180,515,9373,25898,16531
