År,Akvakultur,Jordbruk,Avløp,Industri,Bakgrunn,Totalt,Menneskeskapt
1990,103,105,102,43,68,422,354
1991,82,105,102,43,58,391,333
1992,61,105,102,44,66,378,312
1993,86,105,124,52,55,423,367
1994,120,105,121,51,59,456,397
1995,137,105,185,45,59,532,472
1996,164,105,166,47,46,528,483
1997,190,105,169,47,58,570,512
1998,243,105,121,46,57,572,515
1999,258,105,104,46,61,574,513
2000,470,105,102,43,60,780,720
2001,261,107,103,45,44,560,516
2002,276,107,109,49,49,590,541
2003,288,107,105,43,49,591,543
2004,368,107,91,41,50,656,606
2005,404,108,95,39,63,708,645
2006,427,108,119,36,56,746,690
2007,494,108,118,64,63,848,785
2008,529,108,111,72,57,877,820
2009,611,108,128,74,49,970,921
2010,588,108,149,84,38,968,929
2011,566,108,128,61,53,916,863
2012,603,108,141,58,54,963,909
2013,581,108,159,58,49,956,907
2014,594,92,152,61,38,938,900
2015,628,111,153,68,61,1021,960
2016,670,100,184,68,41,1063,1022
2017,622,104,179,55,48,1009,960
2018,622,98,243,68,41,1072,1034
2019,736,98,210,51,36,1131,1099
2020,708,98,212,57,46,1122,1079
