År,Akvakultur,Jordbruk,Avløp,Industri,Bakgrunn,Totalt,Menneskeskapt
1990,102,974,1041,97,10794,13007,2214
1991,126,957,1041,109,8262,10496,2234
1992,151,934,1041,120,8526,10772,2246
1993,207,889,1152,175,7945,10368,2423
1994,185,860,1304,275,9488,12112,2624
1995,227,860,1162,264,9019,11531,2513
1996,290,859,1266,354,6197,8966,2769
1997,301,857,1227,267,7822,10474,2652
1998,348,855,1514,213,8039,10969,2930
1999,343,854,1033,164,9313,11707,2394
2000,361,852,1037,176,10512,12938,2426
2001,304,889,1017,188,8391,10790,2398
2002,331,852,922,198,7964,10267,2303
2003,466,851,959,171,7792,10238,2446
2004,367,851,1002,125,8241,10585,2344
2005,454,875,934,109,8106,10479,2372
2006,407,874,1099,114,8906,11400,2494
2007,523,882,1049,78,8430,10961,2531
2008,500,882,1068,71,10208,12730,2522
2009,530,874,1146,71,8712,11333,2621
2010,388,877,1163,73,6304,8806,2502
2011,582,877,1104,94,8799,11456,2657
2012,668,879,1125,105,8705,11478,2776
2013,587,876,1123,90,8449,11126,2676
2014,696,578,1058,94,8539,10964,2425
2015,769,795,1220,106,9976,12867,2891
2016,804,789,1222,77,7549,10441,2891
2017,534,776,1272,220,8308,11110,2827
2018,843,856,1102,75,6817,9692,2901
2019,628,855,1114,60,6738,9395,2682
2020,1012,855,1330,120,8451,11769,3343
