År,Akvakultur,Jordbruk,Avløp,Industri,Bakgrunn,Totalt,Menneskeskapt
1990,1240,690,919,10,5395,8254,2859
1991,1147,690,919,7,4094,6856,2763
1992,1053,690,919,53,4965,7681,2715
1993,1383,690,1221,282,4457,8034,3577
1994,2026,690,1129,55,4081,7980,3899
1995,2388,690,1516,49,4933,9577,4643
1996,2601,690,1466,48,3333,8138,4806
1997,2965,690,1467,722,5546,11390,5844
1998,3337,690,1324,28,4528,9908,5380
1999,3397,690,1228,30,3964,9309,5346
2000,3498,690,1199,39,4562,9989,5426
2001,555,2092,1067,59,3404,7176,3772
2002,3078,2092,1106,30,3951,10258,6306
2003,3892,2093,1098,37,3890,11011,7120
2004,3706,2092,1020,201,4455,11473,7018
2005,3702,2089,1024,57,5136,12008,6872
2006,4886,2089,1013,31,4141,12161,8020
2007,5018,2087,1028,26,4987,13146,8159
2008,4760,2086,1045,36,4806,12733,7927
2009,5411,2087,1073,59,4031,12661,8629
2010,5728,2087,1079,48,3540,12482,8942
2011,6170,2105,1023,48,4945,14291,9346
2012,6224,2081,993,61,4781,14142,9363
2013,6683,2094,1019,44,3809,13649,9840
2014,5969,1825,1036,67,2383,11280,8897
2015,7909,1982,1083,76,4171,15221,11050
2016,4923,1959,1053,133,3940,12008,8068
2017,7889,1973,1038,51,4831,15783,10960
2018,5558,2071,1064,65,3227,11986,8767
2019,7517,2070,1094,81,3425,14186,10769
2020,6648,2070,1114,46,4313,14192,9887
