År,Akvakultur,Jordbruk,Avløp,Industri,Bakgrunn,Totalt,Menneskeskapt
1990,4574,4925,3459,975,37573,51505,13932
1991,4288,4925,3459,922,32151,45744,13594
1992,4003,4925,3459,779,38131,51296,13165
1993,4721,4925,4321,957,35458,50382,14924
1994,6503,4925,4586,703,29255,45972,16717
1995,8219,4925,6042,701,36534,56421,19887
1996,9571,4925,6145,775,31340,52755,21415
1997,11386,4925,6101,1479,41047,64938,23891
1998,12873,4925,5512,718,34451,58479,24028
1999,12572,4925,5342,681,30720,54240,23520
2000,12755,4925,4993,819,35847,59338,23492
2001,11415,8476,4408,743,28980,54022,25042
2002,13062,8427,4469,978,32315,59251,26937
2003,16443,8429,4420,951,32402,62645,30243
2004,15605,8412,4429,1042,34156,63644,29488
2005,17953,8483,4291,774,39675,71177,31502
2006,21751,8498,4251,781,33507,68788,35281
2007,23564,8467,4240,915,37587,74773,37186
2008,24331,8474,4264,917,30874,68861,37986
2009,28139,8463,4400,872,31932,73805,41874
2010,28892,8477,4499,1284,28136,71289,43153
2011,31121,8506,4361,999,36972,81959,44987
2012,35204,8710,4338,953,32461,81676,49213
2013,34910,8768,4413,1192,31615,80898,49283
2014,38616,7585,4489,1028,21174,72892,51718
2015,37992,8034,4610,1015,36822,88473,51651
2016,36817,7924,4582,1113,24616,75052,50436
2017,40514,7965,4491,1226,31785,85980,54238
2018,41082,8632,4845,1163,21780,77503,55764
2019,42709,8649,4887,1159,23419,80823,57446
2020,46605,8641,4947,1241,30333,91768,61477
