År,Akvakultur,Jordbruk,Avløp,Industri,Bakgrunn,Totalt,Menneskeskapt
1990,2844,4192,3270,1208,31321,42834,11513
1991,2673,4186,3270,1162,23505,34796,11292
1992,2502,4179,3270,1123,27753,38827,11074
1993,3384,4165,3859,984,22713,35105,12392
1994,4175,4156,3790,1203,24327,37650,13323
1995,5417,4156,4706,1183,25396,40858,15462
1996,6187,4157,4537,1092,16593,32565,15972
1997,6602,4157,4495,1244,24198,40696,16498
1998,7396,4158,4601,1485,22905,40546,17641
1999,7615,4159,3920,1224,25545,42462,16918
2000,9495,4160,3757,1563,25589,44563,18974
2001,8298,7176,3697,1573,18896,39641,20745
2002,7873,7146,3748,1123,21252,41142,19890
2003,8885,7142,3481,597,21394,41498,20105
2004,9429,7160,3445,576,22520,43130,20609
2005,9763,7193,3664,559,27498,48677,21179
2006,10935,7193,3815,523,22945,45411,22466
2007,13503,7204,3800,506,26429,51442,25013
2008,14287,7211,3714,392,25963,51566,25603
2009,15944,7219,3923,451,21848,49384,27536
2010,15439,7244,4015,454,16464,43615,27152
2011,17482,7265,3993,434,25578,54751,29173
2012,19071,7203,4004,456,24605,55335,30738
2013,17745,7262,4120,486,21907,51521,29614
2014,18888,5709,3963,430,18179,47168,28989
2015,19533,6405,4330,417,28691,59375,30684
2016,19848,6267,4115,438,21017,51684,30668
2017,19418,6308,4112,544,23755,54137,30422
2018,19133,7077,3943,509,18434,49096,30702
2019,20615,7077,3898,491,15460,47541,32121
2020,22022,7077,4421,518,20683,54721,34078
