År,Akvakultur,Jordbruk,Avløp,Industri,Bakgrunn,Totalt,Menneskeskapt
1990,0,307,164,80,94,645,550
1991,0,298,164,101,83,647,563
1992,0,284,164,53,88,588,501
1993,0,257,194,49,97,597,500
1994,0,246,138,87,95,567,471
1995,0,243,179,71,97,590,492
1996,0,240,213,81,80,614,534
1997,0,238,214,89,92,633,541
1998,0,235,178,123,95,631,536
1999,0,231,156,80,101,569,468
2000,0,229,131,73,109,542,434
2001,0,212,134,83,97,525,428
2002,0,201,121,83,93,499,406
2003,0,203,123,92,88,506,418
2004,0,196,118,103,91,508,417
2005,1,192,124,84,92,492,401
2006,0,202,128,78,97,505,408
2007,6,192,120,83,100,501,401
2008,0,177,120,89,106,493,387
2009,0,170,117,91,97,474,377
2010,0,170,121,81,93,465,372
2011,0,156,132,72,100,460,359
2012,0,184,123,74,100,481,381
2013,0,213,120,67,96,497,401
2014,0,179,121,51,74,424,351
2015,0,205,150,22,99,475,377
2016,0,214,118,45,70,447,377
2017,0,204,124,56,76,461,384
2018,0,225,102,52,91,470,399
2019,0,209,120,44,92,465,393
2020,0,217,110,40,96,463,387
