År,Akvakultur,Jordbruk,Avløp,Industri,Bakgrunn,Totalt,Menneskeskapt
1990,0,9787,2845,230,6711,19574,12863
1991,1,9579,2845,337,5690,18451,12761
1992,1,9285,2845,168,6115,18414,12298
1993,1,8722,2842,201,6957,18723,11766
1994,1,8353,2818,249,6755,18176,11421
1995,1,8342,2926,322,6930,18521,11591
1996,1,8247,3340,261,5433,17282,11849
1997,1,8150,3170,273,6528,18121,11594
1998,1,8053,3223,297,6764,18337,11574
1999,2,7958,3128,277,7284,18648,11364
2000,2,7861,2889,263,7952,18968,11015
2001,2,7744,2830,289,6796,17661,10865
2002,0,7450,2540,376,6497,16863,10366
2003,0,7537,2540,280,5998,16356,10357
2004,0,7480,2333,423,6356,16592,10236
2005,8,7168,2148,299,6507,16129,9622
2006,1,7710,2446,321,6918,17395,10478
2007,35,7639,2552,292,7172,17690,10518
2008,0,7570,2531,362,7698,18162,10463
2009,0,7570,2730,340,6874,17515,10641
2010,0,7627,2559,299,6526,17011,10485
2011,0,7567,2596,258,7172,17593,10421
2012,0,7691,2654,328,7116,17790,10673
2013,0,7885,2764,325,6776,17750,10974
2014,0,6661,2732,330,5705,15427,9722
2015,0,7479,3035,212,6995,17720,10725
2016,0,7539,3029,360,5379,16307,10928
2017,0,7526,3009,405,6099,17039,11028
2018,0,7818,3085,399,5518,16819,11390
2019,0,7687,3192,379,5575,16833,11346
2020,0,7761,3171,323,6061,17317,11344
