År,Akvakultur,Jordbruk,Avløp,Industri,Bakgrunn,Totalt,Menneskeskapt
1990,13,16869,8347,2446,19646,47320,27675
1991,17,16517,8347,2397,16063,43340,27277
1992,20,16020,8347,3284,16612,44283,27671
1993,27,15066,9671,3267,17748,45780,28032
1994,25,14443,8176,2046,19435,44123,24689
1995,30,14427,10332,2075,19258,46122,26864
1996,38,14265,10039,2261,14084,40687,26603
1997,40,14100,9724,2200,16869,42933,26063
1998,49,13937,9494,1918,18113,43511,25398
1999,34,13774,9130,1626,19874,44438,24564
2000,47,13610,8506,1616,22106,45885,23779
2001,9,13247,8173,1612,19564,42605,23042
2002,17,12771,7001,1529,17344,38661,21317
2003,27,12871,7080,1438,16995,38409,21414
2004,25,12811,7223,1568,17665,39292,21626
2005,28,12608,7124,1380,16807,37947,21140
2006,32,13174,7700,1358,18827,41092,22265
2007,68,13107,7835,1398,19024,41432,22408
2008,31,13003,7842,1465,21366,43708,22342
2009,29,12991,8185,1175,18910,41289,22379
2010,5,13080,8022,1608,16654,39370,22716
2011,17,12983,8135,1457,19389,41981,22593
2012,24,13144,8288,1103,18797,41358,22559
2013,36,13397,8508,1098,18908,41947,23038
2014,26,10985,8640,1143,17854,38648,20794
2015,43,12721,9392,1001,20147,43305,23158
2016,25,12869,9360,1057,16387,39698,23312
2017,29,12813,9854,1125,18201,42023,24096
2018,40,13297,8911,1197,15780,39226,23720
2019,56,13119,9254,1130,16228,39787,23833
2020,16,13217,9293,1092,18430,42048,23891
