År,Akvakultur,Jordbruk,Avløp,Industri,Bakgrunn,Totalt,Menneskeskapt
1990,697,175,320,78,399,1668,1269
1991,646,175,320,67,326,1533,1208
1992,595,175,320,71,381,1542,1161
1993,722,175,401,83,354,1735,1381
1994,1060,175,376,59,305,1976,1670
1995,1301,175,532,62,385,2454,2069
1996,1526,175,504,75,290,2569,2279
1997,1814,175,510,228,426,3152,2727
1998,1945,175,472,200,361,3154,2793
1999,1872,175,439,85,311,2882,2571
2000,1754,175,375,85,344,2734,2390
2001,1292,260,394,79,286,2311,2025
2002,1702,258,383,93,324,2759,2435
2003,2195,255,378,89,320,3236,2917
2004,2144,252,355,104,345,3200,2855
2005,2359,248,351,74,399,3431,3032
2006,3256,250,343,108,329,4286,3957
2007,3210,245,356,106,359,4276,3916
2008,3054,246,361,183,317,4160,3844
2009,3443,243,353,103,330,4472,4142
2010,3521,244,352,98,265,4480,4215
2011,3610,245,357,344,384,4939,4556
2012,3998,262,354,113,336,5064,4728
2013,3809,264,376,110,311,4869,4558
2014,4315,230,396,129,198,5268,5071
2015,4184,248,418,94,384,5328,4944
2016,3971,237,431,120,236,4995,4759
2017,4314,242,386,178,303,5423,5120
2018,4574,248,388,125,218,5552,5339
2019,4703,254,403,117,230,5706,5481
2020,5057,251,397,125,292,6121,5834
