År,Akvakultur,Jordbruk,Avløp,Industri,Bakgrunn,Totalt,Menneskeskapt
1990,0,115,0,21,53,189,146
1991,0,112,0,20,48,180,143
1992,0,107,0,20,48,176,138
1993,0,97,115,44,52,307,266
1994,0,93,56,39,55,243,198
1995,0,92,90,52,55,289,244
1996,0,91,90,45,45,272,237
1997,0,90,91,49,49,279,240
1998,1,90,82,39,52,264,222
1999,1,89,71,23,55,238,194
2000,1,89,57,40,58,244,196
2001,0,85,60,45,60,251,201
2002,0,82,53,29,53,216,174
2003,0,82,58,35,53,228,185
2004,0,84,52,40,54,230,186
2005,0,85,57,41,49,232,194
2006,0,85,55,29,51,219,178
2007,0,87,50,19,55,211,166
2008,0,86,56,24,59,225,177
2009,0,84,54,24,55,217,172
2010,0,84,53,23,53,213,170
2011,0,83,55,30,55,222,177
2012,0,90,53,26,54,223,179
2013,0,89,53,21,55,218,173
2014,0,77,56,24,60,217,167
2015,0,85,60,12,57,214,167
2016,0,86,61,20,52,218,177
2017,0,90,53,17,53,212,169
2018,0,104,49,25,56,235,189
2019,0,103,50,26,57,236,189
2020,0,104,48,24,60,236,187
2021,0,107,43,31,55,236,191
