År,Akvakultur,Jordbruk,Avløp,Industri,Bakgrunn,Totalt,Menneskeskapt
1990,1553,728,0,191,771,3242,2515
1991,0,717,0,186,663,1566,946
1992,1365,697,0,118,769,2949,2224
1993,1702,660,1165,208,730,4466,3779
1994,2239,647,976,210,667,4737,4114
1995,2860,642,1270,192,766,5731,5008
1996,3305,639,1357,215,610,6125,5559
1997,3772,636,1375,385,785,6953,6212
1998,4252,632,1302,401,701,7289,6631
1999,4254,629,1197,246,687,7013,6370
2000,4384,625,1081,245,793,7128,6379
2001,3874,767,1039,246,617,6542,5969
2002,4107,750,1163,253,681,6954,6317
2003,5001,749,1163,264,661,7838,7221
2004,4936,740,1124,321,683,7805,7166
2005,5434,736,1126,271,776,8344,7612
2006,6915,747,1152,288,667,9769,9146
2007,7195,735,1150,286,769,10136,9410
2008,7125,722,1154,400,706,10106,9443
2009,8088,709,1134,315,689,10936,10290
2010,8078,710,1091,335,583,10797,10257
2011,8396,696,1166,326,745,11328,10627
2012,9382,732,1088,363,705,12270,11608
2013,9110,758,1175,292,654,11989,11379
2014,9927,687,1201,303,687,12805,12161
2015,9948,745,1162,212,752,12819,12111
2016,9781,756,1287,289,650,12762,12156
2017,10350,742,1225,341,753,13411,12701
2018,10404,796,1255,310,683,13448,12809
2019,10928,785,1251,277,679,13920,13284
2020,11836,791,1239,284,840,14990,14194
2021,12214,823,1230,272,645,15183,14582
