År,Akvakultur,Jordbruk,Avløp,Industri,Bakgrunn,Totalt,Menneskeskapt
1990,3309,4614,0,969,17308,26201,8924
1991,0,4614,0,909,14307,19830,5555
1992,2826,4614,0,762,17958,26160,8234
1993,3429,4614,3482,948,16683,29157,12505
1994,5032,4614,2879,700,13589,26815,13258
1995,6176,4614,4175,699,18237,33901,15696
1996,7242,4614,4083,721,13217,29876,16692
1997,8607,4614,4042,1461,19946,38670,18756
1998,9221,4614,3706,703,16583,34826,18275
1999,8825,4614,3689,674,13906,31709,17835
2000,8784,4614,3379,784,17037,34598,17594
2001,6587,8039,2948,677,12587,30838,18283
2002,8673,7989,2931,942,15344,35879,20568
2003,11111,7991,2990,914,14539,37545,23039
2004,10841,7978,2943,996,15834,38593,22791
2005,11992,8052,2834,756,18655,42289,23666
2006,15406,8065,2931,770,14550,41722,27204
2007,16559,8035,3010,907,17391,45902,28543
2008,16550,8043,2997,891,15263,43744,28513
2009,18727,8029,3075,840,15808,46478,30702
2010,19290,8043,3049,1243,12181,43806,31657
2011,20881,8074,3051,983,17867,50857,33021
2012,23091,8055,3027,841,16543,51557,35046
2013,21980,8113,3073,1126,14299,48592,34325
2014,25021,7072,3230,949,13272,49544,36304
2015,24174,7418,3285,941,16954,52771,35849
2016,22964,7437,3331,1030,13961,48723,34794
2017,24982,7408,3248,1145,18296,55078,36814
2018,26442,8048,3181,1035,14573,53280,38739
2019,27283,8065,3290,1132,15501,55271,39802
2020,29309,8057,3369,1153,19954,61842,41920
2021,30955,8108,3309,965,14306,57643,43369
