År,Akvakultur,Jordbruk,Avløp,Industri,Bakgrunn,Totalt,Menneskeskapt
1990,103,93,0,0,49,244,198
1991,0,93,0,0,43,136,96
1992,60,93,0,0,49,202,156
1993,85,93,118,50,43,389,349
1994,119,93,90,51,45,397,355
1995,136,93,146,45,46,465,422
1996,162,93,134,47,36,473,440
1997,188,93,136,47,44,508,467
1998,241,93,102,46,43,524,484
1999,256,93,93,46,46,532,490
2000,467,93,92,43,48,743,698
2001,261,98,92,45,34,529,498
2002,275,98,134,48,37,592,558
2003,288,98,145,40,35,606,574
2004,368,97,125,38,38,665,631
2005,404,97,117,36,48,702,657
2006,427,99,125,35,42,728,689
2007,494,99,121,64,48,826,781
2008,529,99,130,72,43,872,833
2009,611,99,131,73,39,953,917
2010,588,99,142,84,31,944,915
2011,566,99,131,61,40,896,859
2012,603,98,133,58,42,934,895
2013,581,99,157,58,37,931,898
2014,594,92,152,61,41,941,903
2015,628,101,145,68,45,987,945
2016,670,101,184,68,39,1063,1027
2017,622,101,180,55,43,1001,961
2018,622,98,243,68,41,1072,1034
2019,736,98,210,51,36,1131,1099
2020,708,98,212,57,46,1122,1079
2021,846,98,212,56,36,1247,1214
