År,Akvakultur,Jordbruk,Avløp,Industri,Bakgrunn,Totalt,Menneskeskapt
1990,306,13,0,66,119,504,386
1991,0,13,0,55,107,175,69
1992,260,13,0,40,129,442,314
1993,234,13,48,29,119,443,325
1994,384,13,119,19,92,627,536
1995,492,13,163,23,130,821,692
1996,589,13,171,31,106,910,805
1997,672,13,169,48,140,1042,903
1998,754,13,150,41,112,1070,959
1999,692,13,149,30,96,980,885
2000,639,13,138,27,117,935,818
2001,798,33,123,22,84,1060,977
2002,713,33,140,33,115,1034,920
2003,835,33,145,34,108,1155,1048
2004,890,33,145,48,110,1226,1117
2005,1105,33,153,22,136,1450,1314
2006,1268,33,161,33,103,1599,1496
2007,1273,33,159,36,126,1627,1502
2008,1367,33,152,35,101,1688,1587
2009,1558,33,155,33,116,1894,1779
2010,1486,33,135,32,86,1772,1687
2011,1498,33,166,41,132,1870,1739
2012,1676,33,141,40,103,1993,1890
2013,1669,33,157,28,105,1992,1887
2014,1824,31,154,42,109,2159,2051
2015,1859,37,150,34,127,2206,2080
2016,1799,37,167,27,94,2124,2031
2017,2033,37,153,20,125,2368,2244
2018,1976,33,150,39,101,2298,2198
2019,2313,33,153,28,106,2634,2529
2020,2461,33,152,31,141,2818,2677
2021,2628,33,155,32,94,2942,2849
