År,Akvakultur,Jordbruk,Avløp,Industri,Bakgrunn,Totalt,Menneskeskapt
1990,515,3067,0,11,5702,9296,3618
1991,0,3067,0,13,4788,7868,3104
1992,303,3067,0,17,5608,8995,3411
1993,428,3067,1659,192,4807,10153,5370
1994,596,3067,1283,367,5073,10386,5337
1995,681,3067,1879,351,5287,11266,6003
1996,816,3067,1729,378,3784,9775,6014
1997,946,3067,1733,379,4933,11058,6149
1998,1205,3067,1344,354,4733,10702,5994
1999,1277,3067,1158,360,5170,11033,5887
2000,2571,3067,1143,341,5549,12672,7147
2001,1324,3934,1325,355,4286,11225,6962
2002,1405,3915,675,405,4716,11116,6424
2003,1446,3911,1280,332,4460,11428,6992
2004,1855,3919,1317,311,4820,12222,7426
2005,2070,3941,1385,327,5435,13158,7747
2006,2022,3946,1441,303,4642,12353,7735
2007,2550,3951,1437,320,5576,13835,8283
2008,2875,3953,1380,253,5595,14057,8486
2009,3326,3959,1469,308,5030,14092,9086
2010,3236,3975,1535,320,3902,12968,9090
2011,3282,3988,1549,283,5162,14264,9126
2012,3520,3965,1548,241,5469,14743,9298
2013,3375,3969,1590,247,4715,13897,9205
2014,3448,3056,1568,248,5295,13616,8345
2015,3642,3508,1643,239,5943,14976,9057
2016,3897,3515,1676,253,5008,14350,9365
2017,3607,3515,1657,233,5588,14600,9037
2018,3614,3965,1468,313,5216,14577,9385
2019,4260,3965,1440,292,4519,14476,9981
2020,4120,3966,1697,288,6099,16170,10095
2021,4919,3965,1373,264,4614,15136,10546
