År,Akvakultur,Jordbruk,Avløp,Industri,Bakgrunn,Totalt,Menneskeskapt
1990,0,514,0,129,289,932,712
1991,0,503,0,145,291,939,717
1992,0,488,0,65,268,821,622
1993,0,459,2862,45,284,3650,3434
1994,0,440,1283,60,342,2125,1852
1995,0,439,3145,59,341,3985,3713
1996,0,437,2285,80,264,3067,2871
1997,0,435,2276,108,278,3097,2887
1998,0,433,2092,96,299,2920,2689
1999,0,431,2103,118,349,3001,2721
2000,0,428,1816,89,375,2709,2402
2001,0,414,1440,100,342,2297,2024
2002,0,409,1050,76,294,1830,1604
2003,0,407,1039,64,313,1823,1579
2004,0,404,1177,77,303,1961,1727
2005,0,397,1238,76,265,1976,1780
2006,0,408,1427,69,317,2220,1972
2007,0,406,1351,73,310,2141,1899
2008,0,401,1294,95,358,2147,1858
2009,0,400,1303,83,324,2110,1854
2010,0,403,1294,79,291,2068,1845
2011,0,402,1438,91,310,2242,2000
2012,0,420,1405,100,315,2241,1994
2013,0,425,1472,105,283,2285,2071
2014,0,358,1790,102,343,2593,2318
2015,0,409,1910,95,337,2751,2483
2016,0,413,1891,108,287,2699,2480
2017,0,411,1963,117,282,2773,2559
2018,0,429,1466,63,291,2250,2027
2019,0,423,1563,51,352,2389,2106
2020,0,427,1492,44,384,2348,2032
2021,0,430,1224,38,326,2019,1761
