År,Akvakultur,Jordbruk,Avløp,Industri,Bakgrunn,Totalt,Menneskeskapt
1990,2,411,0,105,175,693,550
1991,0,400,0,110,157,667,543
1992,4,380,0,48,160,591,464
1993,5,344,368,68,169,954,817
1994,4,331,183,96,179,793,647
1995,5,327,290,89,179,890,744
1996,7,323,344,96,147,917,803
1997,7,320,346,112,164,949,818
1998,9,316,277,162,170,934,797
1999,6,313,236,107,179,841,694
2000,8,309,194,114,193,817,657
2001,1,295,213,121,181,811,662
2002,3,281,181,104,167,735,602
2003,5,282,188,120,164,760,628
2004,5,277,168,140,167,757,623
2005,5,277,172,125,160,739,612
2006,7,284,183,106,171,750,612
2007,13,277,167,98,174,729,587
2008,6,263,172,116,188,744,589
2009,5,253,168,111,175,713,571
2010,1,254,171,108,163,696,566
2011,3,239,185,106,174,707,565
2012,4,273,174,103,172,726,587
2013,6,298,173,91,170,739,602
2014,5,263,198,78,188,731,575
2015,8,287,211,36,179,720,573
2016,4,294,197,69,162,727,597
2017,5,284,202,77,168,735,600
2018,7,339,170,80,174,771,629
2019,10,321,193,73,177,774,630
2020,3,331,181,67,191,773,615
2021,6,345,147,70,167,736,601
