År,Akvakultur,Jordbruk,Avløp,Industri,Bakgrunn,Totalt,Menneskeskapt
1990,0,9496,0,195,5534,15226,9781
1991,0,9295,0,181,4755,14231,9564
1992,1,9009,0,129,5008,14148,9228
1993,1,8462,2736,164,5723,17086,11452
1994,1,8105,2223,215,5706,16249,10631
1995,1,8094,2613,284,5869,16862,11081
1996,1,7996,3004,86,4559,15647,11176
1997,1,7896,2837,103,5390,16226,10925
1998,1,7796,2880,116,5580,16373,10882
1999,2,7698,2756,104,5983,16543,10648
2000,2,7598,2464,225,6491,16779,10377
2001,2,7548,2498,251,5637,15935,10386
2002,0,7251,2227,324,5238,15040,9890
2003,0,7346,2401,249,4938,14935,10085
2004,0,7289,2136,392,5022,14839,9906
2005,8,6990,2104,268,5155,14525,9459
2006,1,7517,2328,289,5578,15711,10222
2007,35,7443,2425,247,5754,15904,10239
2008,0,7376,2465,321,6139,16301,10250
2009,0,7377,2580,328,5571,15856,10373
2010,0,7433,2433,286,5152,15305,10241
2011,0,7372,2578,258,5550,15757,10296
2012,0,7626,2545,328,5528,16027,10588
2013,0,7816,2689,325,5125,15955,10918
2014,0,6661,2732,330,5793,15516,9811
2015,0,7417,2934,212,5478,16040,10650
2016,0,7518,3083,360,4675,15635,11049
2017,0,7526,3112,405,5058,16101,11132
2018,0,7818,3085,399,5518,16819,11390
2019,0,7687,3192,379,5575,16833,11346
2020,0,7761,3171,323,6061,17317,11344
2021,0,7806,3066,284,5172,16327,11244
