År,Akvakultur,Jordbruk,Avløp,Industri,Bakgrunn,Totalt,Menneskeskapt
1990,102,937,0,50,8223,9312,1113
1991,0,921,0,62,6431,7414,1008
1992,151,899,0,76,6628,7754,1151
1993,206,856,1117,130,6347,8656,2334
1994,185,828,971,206,7602,9793,2215
1995,227,828,1038,194,7250,9537,2312
1996,290,827,1137,284,4855,7392,2562
1997,301,825,1084,197,6206,8612,2432
1998,348,823,1378,144,6327,9020,2719
1999,343,822,867,118,7271,9420,2175
2000,361,820,858,129,8558,10726,2193
2001,304,865,967,182,6802,9119,2342
2002,331,829,932,179,6249,8519,2295
2003,466,828,959,163,6047,8462,2440
2004,367,828,976,121,6473,8765,2317
2005,454,851,939,107,6188,8539,2376
2006,407,850,1081,112,6745,9195,2475
2007,523,858,1038,75,6791,9285,2519
2008,500,858,1066,69,8047,10541,2518
2009,530,850,1102,66,6889,9437,2574
2010,388,853,1123,70,5134,7568,2459
2011,582,853,1049,88,6823,9394,2597
2012,667,855,1090,99,6815,9527,2737
2013,587,853,1135,85,6562,9222,2685
2014,696,578,1058,94,8564,10989,2450
2015,769,776,1186,100,7946,10777,2856
2016,804,776,1222,77,6612,9491,2904
2017,534,776,1273,220,6988,9791,2828
2018,843,856,1102,75,6817,9692,2901
2019,628,855,1114,60,6738,9395,2682
2020,1012,855,1330,120,8451,11769,3343
2021,433,856,1273,71,5942,8575,2658
