År,Akvakultur,Jordbruk,Avløp,Industri,Bakgrunn,Totalt,Menneskeskapt
1990,259,29,0,1,52,341,290
1991,0,29,0,0,40,70,30
1992,220,29,0,2,51,304,253
1993,289,29,143,23,47,532,486
1994,424,29,122,9,41,625,585
1995,500,29,174,10,52,766,714
1996,544,29,169,9,36,787,752
1997,620,29,171,136,56,1012,957
1998,698,29,150,122,47,1046,1000
1999,714,29,145,19,42,949,908
2000,692,29,141,22,52,936,885
2001,105,59,120,22,35,341,307
2002,595,59,146,22,43,865,823
2003,763,59,140,25,39,1026,988
2004,728,59,135,26,45,993,949
2005,726,59,128,24,53,990,938
2006,1033,59,131,45,41,1309,1268
2007,973,59,133,35,53,1252,1201
2008,878,59,138,35,50,1161,1112
2009,992,59,136,26,42,1256,1214
2010,1043,59,123,25,36,1287,1251
2011,1066,58,135,23,47,1329,1283
2012,1076,59,118,36,49,1338,1290
2013,1156,59,135,38,38,1426,1389
2014,1028,54,140,42,34,1297,1264
2015,1365,63,140,21,41,1629,1589
2016,854,63,134,32,42,1124,1084
2017,1354,63,137,91,51,1696,1646
2018,964,60,138,25,45,1231,1188
2019,1290,59,148,24,47,1569,1523
2020,1148,59,139,28,59,1433,1375
2021,1483,60,148,23,42,1755,1714
