År,Akvakultur,Jordbruk,Avløp,Industri,Bakgrunn,Totalt,Menneskeskapt
1990,1549,292,0,160,6606,8607,2013
1991,0,292,0,109,5055,5456,413
1992,1532,292,0,31,6265,8120,1867
1993,2012,292,1477,35,5093,8910,3829
1994,2454,292,1558,55,5433,9792,4371
1995,3349,292,1347,55,5907,10950,5055
1996,3718,292,1452,461,3597,9520,5935
1997,3753,292,1426,609,5472,11552,6092
1998,4207,292,1990,874,4956,12318,7375
1999,4196,292,1982,610,5682,12762,7093
2000,4635,292,1856,908,6042,13733,7703
2001,4642,1236,1546,944,3938,12305,8379
2002,4072,1235,1493,461,4602,11863,7272
2003,4640,1235,1513,39,4540,11967,7438
2004,4800,1242,1519,82,4811,12454,7654
2005,4787,1244,1627,76,6392,14126,7746
2006,5686,1241,1694,69,4719,13410,8703
2007,7192,1243,1752,67,6175,16428,10265
2008,7620,1245,1735,79,5504,16184,10692
2009,8381,1246,1838,77,4972,16514,11554
2010,7842,1249,1824,60,3637,14611,10986
2011,9124,1253,1851,58,5502,17788,12297
2012,10303,1235,1852,92,5631,19113,13494
2013,9265,1262,1922,143,4632,17223,12603
2014,9954,1072,1845,86,5235,18192,12969
2015,10399,1112,2040,73,6455,20080,13636
2016,10269,1111,1835,105,5284,18603,13331
2017,10552,1111,1897,97,5790,19447,13669
2018,10106,1235,1906,119,5520,18885,13377
2019,10655,1235,1900,135,4505,18430,13937
2020,11110,1235,2099,103,6056,20602,14558
2021,10616,1235,1827,109,4170,17957,13799
