År,Akvakultur,Jordbruk,Avløp,Industri,Bakgrunn,Totalt,Menneskeskapt
1990,571,151,0,0,2994,3716,723
1991,0,151,0,0,2837,2988,152
1992,601,151,0,0,3320,4072,753
1993,683,151,337,0,3396,4567,1171
1994,749,151,632,0,2425,3957,1533
1995,1088,151,400,0,2937,4576,1640
1996,1261,151,726,0,2986,5124,2139
1997,1326,151,727,0,3676,5881,2205
1998,1639,151,646,0,2654,5090,2437
1999,1915,151,637,0,2472,5175,2704
2000,1731,151,642,0,3712,6236,2524
2001,2242,406,497,0,2548,5692,3145
2002,1698,405,592,0,3076,5771,2696
2003,2229,404,548,0,3093,6274,3182
2004,1867,403,568,0,2776,5614,2839
2005,2679,403,553,0,3088,6724,3636
2006,3246,406,561,0,2657,6870,4214
2007,3443,404,577,0,3280,7704,4425
2008,3650,403,627,0,2345,7026,4681
2009,3841,404,544,0,2523,7312,4789
2010,4195,406,563,0,2444,7609,5165
2011,4018,404,583,0,2729,7734,5006
2012,5085,406,565,44,2389,8489,6101
2013,5440,404,579,30,2477,8931,6455
2014,5928,362,608,34,2775,9707,6933
2015,6447,387,607,51,2688,10180,7492
2016,6824,387,615,48,2328,10202,7875
2017,7437,387,602,53,2731,11210,8480
2018,7006,406,766,3,2127,10309,8182
2019,6803,406,676,2,2511,10399,7888
2020,7358,406,704,42,3422,11932,8511
2021,8482,406,637,54,2455,12033,9579
