År,Akvakultur,Jordbruk,Avløp,Industri,Bakgrunn,Totalt,Menneskeskapt
1990,13,16338,0,2394,16386,35132,19020
1991,0,15998,0,2225,13509,31731,18497
1992,20,15517,0,1685,13859,31081,17495
1993,27,14594,9340,1654,15118,40733,25888
1994,24,13990,6839,1919,16753,39525,23046
1995,30,13975,9490,1944,16700,42138,25712
1996,38,13812,9225,1995,11943,37013,25343
1997,40,13647,8897,1938,14315,38836,24795
1998,49,13482,8694,1617,15311,39153,24116
1999,34,13319,8281,1424,16742,39800,23332
2000,46,13154,7562,1541,18772,41076,22578
2001,9,12901,7574,1554,16930,38968,22312
2002,17,12431,6473,1377,14609,34907,20572
2003,27,12536,6788,1382,14362,35095,21007
2004,25,12477,6756,1520,14840,35618,21052
2005,28,12278,6917,1321,13860,34404,20817
2006,32,12825,7540,1309,15428,37134,21980
2007,68,12757,7535,1320,16005,37684,21953
2008,31,12655,7577,1402,17825,39489,21938
2009,29,12647,7899,1142,15902,37620,21991
2010,5,12737,7641,1578,13992,35954,22235
2011,17,12638,7888,1457,15701,37701,22274
2012,24,13003,7959,1104,15375,37464,22363
2013,36,13251,8281,1098,15209,37874,22939
2014,26,10985,8640,1143,18128,38922,21068
2015,43,12588,9082,1001,16687,39401,22988
2016,25,12708,9415,1057,14231,37437,23480
2017,29,12813,9965,1125,14946,38879,24206
2018,40,13297,8911,1197,15780,39226,23720
2019,56,13119,9254,1130,16228,39787,23833
2020,16,13217,9293,1092,18430,42048,23891
2021,37,13288,8869,1069,14785,38048,23536
